"Step","Giannini-Hall_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips","Giannini-Hall_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MIN","Giannini-Hall_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MAX","Giannini-Hall_no-contraction - Eval Images Metrics Dict (all images)/lpips","Giannini-Hall_no-contraction - Eval Images Metrics Dict (all images)/lpips__MIN","Giannini-Hall_no-contraction - Eval Images Metrics Dict (all images)/lpips__MAX","sculpture_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips","sculpture_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MIN","sculpture_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MAX","sculpture_no-contraction - Eval Images Metrics Dict (all images)/lpips","sculpture_no-contraction - Eval Images Metrics Dict (all images)/lpips__MIN","sculpture_no-contraction - Eval Images Metrics Dict (all images)/lpips__MAX","stump_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips","stump_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MIN","stump_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MAX","stump_no-contraction - Eval Images Metrics Dict (all images)/lpips","stump_no-contraction - Eval Images Metrics Dict (all images)/lpips__MIN","stump_no-contraction - Eval Images Metrics Dict (all images)/lpips__MAX","aspen_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips","aspen_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MIN","aspen_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MAX","aspen_no-contraction - Eval Images Metrics Dict (all images)/lpips","aspen_no-contraction - Eval Images Metrics Dict (all images)/lpips__MIN","aspen_no-contraction - Eval Images Metrics Dict (all images)/lpips__MAX","floating-tree_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips","floating-tree_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MIN","floating-tree_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MAX","floating-tree_no-contraction - Eval Images Metrics Dict (all images)/lpips","floating-tree_no-contraction - Eval Images Metrics Dict (all images)/lpips__MIN","floating-tree_no-contraction - Eval Images Metrics Dict (all images)/lpips__MAX","dozer_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips","dozer_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MIN","dozer_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MAX","dozer_no-contraction - Eval Images Metrics Dict (all images)/lpips","dozer_no-contraction - Eval Images Metrics Dict (all images)/lpips__MIN","dozer_no-contraction - Eval Images Metrics Dict (all images)/lpips__MAX","plane_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips","plane_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MIN","plane_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MAX","plane_no-contraction - Eval Images Metrics Dict (all images)/lpips","plane_no-contraction - Eval Images Metrics Dict (all images)/lpips__MIN","plane_no-contraction - Eval Images Metrics Dict (all images)/lpips__MAX","kitchen_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips","kitchen_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MIN","kitchen_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MAX","kitchen_no-contraction - Eval Images Metrics Dict (all images)/lpips","kitchen_no-contraction - Eval Images Metrics Dict (all images)/lpips__MIN","kitchen_no-contraction - Eval Images Metrics Dict (all images)/lpips__MAX","person_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips","person_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MIN","person_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MAX","person_no-contraction - Eval Images Metrics Dict (all images)/lpips","person_no-contraction - Eval Images Metrics Dict (all images)/lpips__MIN","person_no-contraction - Eval Images Metrics Dict (all images)/lpips__MAX","Egypt_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips","Egypt_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MIN","Egypt_synthetic-on-real - Eval Images Metrics Dict (all images)/lpips__MAX","Egypt_no-contraction - Eval Images Metrics Dict (all images)/lpips","Egypt_no-contraction - Eval Images Metrics Dict (all images)/lpips__MIN","Egypt_no-contraction - Eval Images Metrics Dict (all images)/lpips__MAX"
"5000","0.1760162115097046","0.1760162115097046","0.1760162115097046","0.2102298140525818","0.2102298140525818","0.2102298140525818","0.10590028762817383","0.10590028762817383","0.10590028762817383","0.12722763419151306","0.12722763419151306","0.12722763419151306","0.06853035092353821","0.06853035092353821","0.06853035092353821","0.08035052567720413","0.08035052567720413","0.08035052567720413","0.4116884469985962","0.4116884469985962","0.4116884469985962","0.4897172451019287","0.4897172451019287","0.4897172451019287","0.09578314423561096","0.09578314423561096","0.09578314423561096","0.11008867621421814","0.11008867621421814","0.11008867621421814","0.09896522015333176","0.09896522015333176","0.09896522015333176","0.12000244855880737","0.12000244855880737","0.12000244855880737","0.128322035074234","0.128322035074234","0.128322035074234","0.22804635763168335","0.22804635763168335","0.22804635763168335","0.0965556651353836","0.0965556651353836","0.0965556651353836","0.12933668494224548","0.12933668494224548","0.12933668494224548","0.13645659387111664","0.13645659387111664","0.13645659387111664","0.20632779598236084","0.20632779598236084","0.20632779598236084","0.15571025013923645","0.15571025013923645","0.15571025013923645","0.2129344791173935","0.2129344791173935","0.2129344791173935"
"10000","0.16344334185123444","0.16344334185123444","0.16344334185123444","0.15878932178020477","0.15878932178020477","0.15878932178020477","0.09202758222818375","0.09202758222818375","0.09202758222818375","0.09222975373268127","0.09222975373268127","0.09222975373268127","0.05764570087194443","0.05764570087194443","0.05764570087194443","0.06865306198596954","0.06865306198596954","0.06865306198596954","0.37963607907295227","0.37963607907295227","0.37963607907295227","0.39304813742637634","0.39304813742637634","0.39304813742637634","0.08216632157564163","0.08216632157564163","0.08216632157564163","0.08176812529563904","0.08176812529563904","0.08176812529563904","0.08913181722164154","0.08913181722164154","0.08913181722164154","0.09483212232589722","0.09483212232589722","0.09483212232589722","0.12155257165431976","0.12155257165431976","0.12155257165431976","0.1863524168729782","0.1863524168729782","0.1863524168729782","0.08225806802511215","0.08225806802511215","0.08225806802511215","0.09628443419933319","0.09628443419933319","0.09628443419933319","0.1247154176235199","0.1247154176235199","0.1247154176235199","0.14701516926288605","0.14701516926288605","0.14701516926288605","0.14250078797340393","0.14250078797340393","0.14250078797340393","0.17241059243679047","0.17241059243679047","0.17241059243679047"
"15000","0.15136146545410156","0.15136146545410156","0.15136146545410156","0.14545820653438568","0.14545820653438568","0.14545820653438568","0.08219514042139053","0.08219514042139053","0.08219514042139053","0.08278648555278778","0.08278648555278778","0.08278648555278778","0.058148737996816635","0.058148737996816635","0.058148737996816635","0.07180912792682648","0.07180912792682648","0.07180912792682648","0.35870322585105896","0.35870322585105896","0.35870322585105896","0.3648127317428589","0.3648127317428589","0.3648127317428589","0.07734914869070053","0.07734914869070053","0.07734914869070053","0.08005643635988235","0.08005643635988235","0.08005643635988235","0.08404481410980225","0.08404481410980225","0.08404481410980225","0.09017395228147507","0.09017395228147507","0.09017395228147507","0.10966705530881882","0.10966705530881882","0.10966705530881882","0.16996951401233673","0.16996951401233673","0.16996951401233673","0.08272098004817963","0.08272098004817963","0.08272098004817963","0.08713553100824356","0.08713553100824356","0.08713553100824356","0.1111171618103981","0.1111171618103981","0.1111171618103981","0.13010312616825104","0.13010312616825104","0.13010312616825104","0.1309850960969925","0.1309850960969925","0.1309850960969925","0.1618097871541977","0.1618097871541977","0.1618097871541977"
"20000","0.14614224433898926","0.14614224433898926","0.14614224433898926","0.14123159646987915","0.14123159646987915","0.14123159646987915","0.08162953704595566","0.08162953704595566","0.08162953704595566","0.07611475884914398","0.07611475884914398","0.07611475884914398","0.055186960846185684","0.055186960846185684","0.055186960846185684","0.0740133672952652","0.0740133672952652","0.0740133672952652","0.35079652070999146","0.35079652070999146","0.35079652070999146","0.35554641485214233","0.35554641485214233","0.35554641485214233","0.07558060437440872","0.07558060437440872","0.07558060437440872","0.0814528837800026","0.0814528837800026","0.0814528837800026","0.08273233473300934","0.08273233473300934","0.08273233473300934","0.08344224840402603","0.08344224840402603","0.08344224840402603","0.1062004491686821","0.1062004491686821","0.1062004491686821","0.16503696143627167","0.16503696143627167","0.16503696143627167","0.07687948644161224","0.07687948644161224","0.07687948644161224","0.08136933296918869","0.08136933296918869","0.08136933296918869","0.10571422427892685","0.10571422427892685","0.10571422427892685","0.1276700347661972","0.1276700347661972","0.1276700347661972","0.12816870212554932","0.12816870212554932","0.12816870212554932","0.15492016077041626","0.15492016077041626","0.15492016077041626"
"25000","0.14097948372364044","0.14097948372364044","0.14097948372364044","0.13744062185287476","0.13744062185287476","0.13744062185287476","0.07898176461458206","0.07898176461458206","0.07898176461458206","0.07725176960229874","0.07725176960229874","0.07725176960229874","0.052684806287288666","0.052684806287288666","0.052684806287288666","0.07319863140583038","0.07319863140583038","0.07319863140583038","0.34379279613494873","0.34379279613494873","0.34379279613494873","0.346294641494751","0.346294641494751","0.346294641494751","0.07311784476041794","0.07311784476041794","0.07311784476041794","0.08773695677518845","0.08773695677518845","0.08773695677518845","0.07814665883779526","0.07814665883779526","0.07814665883779526","0.08117035776376724","0.08117035776376724","0.08117035776376724","0.10521409660577774","0.10521409660577774","0.10521409660577774","0.15810814499855042","0.15810814499855042","0.15810814499855042","0.07686255127191544","0.07686255127191544","0.07686255127191544","0.07967425137758255","0.07967425137758255","0.07967425137758255","0.10225160419940948","0.10225160419940948","0.10225160419940948","0.12276865541934967","0.12276865541934967","0.12276865541934967","0.12226034700870514","0.12226034700870514","0.12226034700870514","0.15466775000095367","0.15466775000095367","0.15466775000095367"
"30000","0.13310614228248596","0.13310614228248596","0.13310614228248596","0.1335323601961136","0.1335323601961136","0.1335323601961136","0.0756969302892685","0.0756969302892685","0.0756969302892685","0.07306233048439026","0.07306233048439026","0.07306233048439026","0.052958253771066666","0.052958253771066666","0.052958253771066666","0.07480376958847046","0.07480376958847046","0.07480376958847046","0.3317984342575073","0.3317984342575073","0.3317984342575073","0.34172889590263367","0.34172889590263367","0.34172889590263367","0.0717189684510231","0.0717189684510231","0.0717189684510231","0.08790552616119385","0.08790552616119385","0.08790552616119385","0.08018356561660767","0.08018356561660767","0.08018356561660767","0.08098693937063217","0.08098693937063217","0.08098693937063217","0.10213663429021835","0.10213663429021835","0.10213663429021835","0.16137507557868958","0.16137507557868958","0.16137507557868958","0.07419895380735397","0.07419895380735397","0.07419895380735397","0.07841809839010239","0.07841809839010239","0.07841809839010239","0.09872915595769882","0.09872915595769882","0.09872915595769882","0.12506365776062012","0.12506365776062012","0.12506365776062012","0.11928792297840118","0.11928792297840118","0.11928792297840118","0.15073633193969727","0.15073633193969727","0.15073633193969727"
