"Step","Giannini-Hall_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr","Giannini-Hall_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MIN","Giannini-Hall_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MAX","Giannini-Hall_no-contraction - Eval Images Metrics Dict (all images)/psnr","Giannini-Hall_no-contraction - Eval Images Metrics Dict (all images)/psnr__MIN","Giannini-Hall_no-contraction - Eval Images Metrics Dict (all images)/psnr__MAX","sculpture_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr","sculpture_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MIN","sculpture_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MAX","sculpture_no-contraction - Eval Images Metrics Dict (all images)/psnr","sculpture_no-contraction - Eval Images Metrics Dict (all images)/psnr__MIN","sculpture_no-contraction - Eval Images Metrics Dict (all images)/psnr__MAX","stump_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr","stump_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MIN","stump_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MAX","stump_no-contraction - Eval Images Metrics Dict (all images)/psnr","stump_no-contraction - Eval Images Metrics Dict (all images)/psnr__MIN","stump_no-contraction - Eval Images Metrics Dict (all images)/psnr__MAX","aspen_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr","aspen_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MIN","aspen_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MAX","aspen_no-contraction - Eval Images Metrics Dict (all images)/psnr","aspen_no-contraction - Eval Images Metrics Dict (all images)/psnr__MIN","aspen_no-contraction - Eval Images Metrics Dict (all images)/psnr__MAX","floating-tree_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr","floating-tree_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MIN","floating-tree_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MAX","floating-tree_no-contraction - Eval Images Metrics Dict (all images)/psnr","floating-tree_no-contraction - Eval Images Metrics Dict (all images)/psnr__MIN","floating-tree_no-contraction - Eval Images Metrics Dict (all images)/psnr__MAX","dozer_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr","dozer_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MIN","dozer_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MAX","dozer_no-contraction - Eval Images Metrics Dict (all images)/psnr","dozer_no-contraction - Eval Images Metrics Dict (all images)/psnr__MIN","dozer_no-contraction - Eval Images Metrics Dict (all images)/psnr__MAX","plane_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr","plane_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MIN","plane_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MAX","plane_no-contraction - Eval Images Metrics Dict (all images)/psnr","plane_no-contraction - Eval Images Metrics Dict (all images)/psnr__MIN","plane_no-contraction - Eval Images Metrics Dict (all images)/psnr__MAX","kitchen_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr","kitchen_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MIN","kitchen_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MAX","kitchen_no-contraction - Eval Images Metrics Dict (all images)/psnr","kitchen_no-contraction - Eval Images Metrics Dict (all images)/psnr__MIN","kitchen_no-contraction - Eval Images Metrics Dict (all images)/psnr__MAX","person_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr","person_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MIN","person_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MAX","person_no-contraction - Eval Images Metrics Dict (all images)/psnr","person_no-contraction - Eval Images Metrics Dict (all images)/psnr__MIN","person_no-contraction - Eval Images Metrics Dict (all images)/psnr__MAX","Egypt_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr","Egypt_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MIN","Egypt_synthetic-on-real - Eval Images Metrics Dict (all images)/psnr__MAX","Egypt_no-contraction - Eval Images Metrics Dict (all images)/psnr","Egypt_no-contraction - Eval Images Metrics Dict (all images)/psnr__MIN","Egypt_no-contraction - Eval Images Metrics Dict (all images)/psnr__MAX"
"5000","18.362504959106445","18.362504959106445","18.362504959106445","18.096677780151367","18.096677780151367","18.096677780151367","22.478546142578125","22.478546142578125","22.478546142578125","21.499540328979492","21.499540328979492","21.499540328979492","23.64402961730957","23.64402961730957","23.64402961730957","21.987220764160156","21.987220764160156","21.987220764160156","16.084623336791992","16.084623336791992","16.084623336791992","16.186025619506836","16.186025619506836","16.186025619506836","20.938323974609375","20.938323974609375","20.938323974609375","19.221168518066406","19.221168518066406","19.221168518066406","21.0407772064209","21.0407772064209","21.0407772064209","19.677867889404297","19.677867889404297","19.677867889404297","18.930198669433594","18.930198669433594","18.930198669433594","18.58513832092285","18.58513832092285","18.58513832092285","20.65243148803711","20.65243148803711","20.65243148803711","19.27729606628418","19.27729606628418","19.27729606628418","25.0496768951416","25.0496768951416","25.0496768951416","23.592557907104492","23.592557907104492","23.592557907104492","19.041812896728516","19.041812896728516","19.041812896728516","18.65505599975586","18.65505599975586","18.65505599975586"
"10000","18.182497024536133","18.182497024536133","18.182497024536133","18.12276840209961","18.12276840209961","18.12276840209961","22.680496215820312","22.680496215820312","22.680496215820312","21.4115047454834","21.4115047454834","21.4115047454834","23.76669692993164","23.76669692993164","23.76669692993164","21.560001373291016","21.560001373291016","21.560001373291016","16.00229263305664","16.00229263305664","16.00229263305664","16.096864700317383","16.096864700317383","16.096864700317383","21.460935592651367","21.460935592651367","21.460935592651367","19.42638397216797","19.42638397216797","19.42638397216797","21.400897979736328","21.400897979736328","21.400897979736328","19.65334129333496","19.65334129333496","19.65334129333496","18.375104904174805","18.375104904174805","18.375104904174805","18.539196014404297","18.539196014404297","18.539196014404297","20.96162223815918","20.96162223815918","20.96162223815918","19.389822006225586","19.389822006225586","19.389822006225586","24.80574607849121","24.80574607849121","24.80574607849121","22.84902000427246","22.84902000427246","22.84902000427246","18.890893936157227","18.890893936157227","18.890893936157227","18.27381706237793","18.27381706237793","18.27381706237793"
"15000","18.28525161743164","18.28525161743164","18.28525161743164","17.880399703979492","17.880399703979492","17.880399703979492","22.581972122192383","22.581972122192383","22.581972122192383","21.520532608032227","21.520532608032227","21.520532608032227","23.59893035888672","23.59893035888672","23.59893035888672","21.24063491821289","21.24063491821289","21.24063491821289","15.990221977233887","15.990221977233887","15.990221977233887","15.934891700744629","15.934891700744629","15.934891700744629","21.28774642944336","21.28774642944336","21.28774642944336","19.287498474121094","19.287498474121094","19.287498474121094","21.402149200439453","21.402149200439453","21.402149200439453","19.643274307250977","19.643274307250977","19.643274307250977","19.260986328125","19.260986328125","19.260986328125","18.53015899658203","18.53015899658203","18.53015899658203","20.702795028686523","20.702795028686523","20.702795028686523","19.27466583251953","19.27466583251953","19.27466583251953","24.886276245117188","24.886276245117188","24.886276245117188","22.796472549438477","22.796472549438477","22.796472549438477","18.830677032470703","18.830677032470703","18.830677032470703","18.232566833496094","18.232566833496094","18.232566833496094"
"20000","18.252077102661133","18.252077102661133","18.252077102661133","17.872840881347656","17.872840881347656","17.872840881347656","22.69757652282715","22.69757652282715","22.69757652282715","21.47149658203125","21.47149658203125","21.47149658203125","23.92220687866211","23.92220687866211","23.92220687866211","20.882619857788086","20.882619857788086","20.882619857788086","15.909340858459473","15.909340858459473","15.909340858459473","15.816522598266602","15.816522598266602","15.816522598266602","21.336437225341797","21.336437225341797","21.336437225341797","19.329240798950195","19.329240798950195","19.329240798950195","21.314849853515625","21.314849853515625","21.314849853515625","19.496286392211914","19.496286392211914","19.496286392211914","18.891340255737305","18.891340255737305","18.891340255737305","18.58868980407715","18.58868980407715","18.58868980407715","20.983293533325195","20.983293533325195","20.983293533325195","19.43528938293457","19.43528938293457","19.43528938293457","24.81332778930664","24.81332778930664","24.81332778930664","22.198863983154297","22.198863983154297","22.198863983154297","18.853158950805664","18.853158950805664","18.853158950805664","18.080575942993164","18.080575942993164","18.080575942993164"
"25000","17.98874855041504","17.98874855041504","17.98874855041504","17.777936935424805","17.777936935424805","17.777936935424805","22.6182918548584","22.6182918548584","22.6182918548584","21.3403263092041","21.3403263092041","21.3403263092041","24.116527557373047","24.116527557373047","24.116527557373047","20.631877899169922","20.631877899169922","20.631877899169922","15.786420822143555","15.786420822143555","15.786420822143555","15.806575775146484","15.806575775146484","15.806575775146484","21.11553955078125","21.11553955078125","21.11553955078125","18.985576629638672","18.985576629638672","18.985576629638672","21.322368621826172","21.322368621826172","21.322368621826172","19.730337142944336","19.730337142944336","19.730337142944336","18.78772735595703","18.78772735595703","18.78772735595703","18.61232566833496","18.61232566833496","18.61232566833496","20.728336334228516","20.728336334228516","20.728336334228516","19.389379501342773","19.389379501342773","19.389379501342773","24.655162811279297","24.655162811279297","24.655162811279297","22.154647827148438","22.154647827148438","22.154647827148438","18.988101959228516","18.988101959228516","18.988101959228516","18.168479919433594","18.168479919433594","18.168479919433594"
"30000","18.407384872436523","18.407384872436523","18.407384872436523","17.751110076904297","17.751110076904297","17.751110076904297","22.620250701904297","22.620250701904297","22.620250701904297","21.432249069213867","21.432249069213867","21.432249069213867","23.858999252319336","23.858999252319336","23.858999252319336","20.686363220214844","20.686363220214844","20.686363220214844","15.527592658996582","15.527592658996582","15.527592658996582","15.803391456604004","15.803391456604004","15.803391456604004","21.130878448486328","21.130878448486328","21.130878448486328","18.98202896118164","18.98202896118164","18.98202896118164","21.40807342529297","21.40807342529297","21.40807342529297","19.532262802124023","19.532262802124023","19.532262802124023","19.319589614868164","19.319589614868164","19.319589614868164","18.450420379638672","18.450420379638672","18.450420379638672","20.980388641357422","20.980388641357422","20.980388641357422","19.351024627685547","19.351024627685547","19.351024627685547","24.6822566986084","24.6822566986084","24.6822566986084","21.955726623535156","21.955726623535156","21.955726623535156","18.51077651977539","18.51077651977539","18.51077651977539","18.0621395111084","18.0621395111084","18.0621395111084"
