"Step","bonsai_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr","bonsai_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr__MIN","bonsai_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr__MAX","kitchen_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr","kitchen_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr__MIN","kitchen_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr__MAX","counter_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr","counter_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr__MIN","counter_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr__MAX","room_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr","room_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr__MIN","room_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr__MAX","stump_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr","stump_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr__MIN","stump_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr__MAX","garden_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr","garden_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr__MIN","garden_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr__MAX","bicycle_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr","bicycle_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr__MIN","bicycle_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/psnr__MAX"
"5000","28.984577178955078","28.984577178955078","28.984577178955078","28.172439575195312","28.172439575195312","28.172439575195312","25.917695999145508","25.917695999145508","25.917695999145508","29.36033821105957","29.36033821105957","29.36033821105957","18.943880081176758","18.943880081176758","18.943880081176758","24.045259475708008","24.045259475708008","24.045259475708008","22.35852813720703","22.35852813720703","22.35852813720703"
"10000","30.010135650634766","30.010135650634766","30.010135650634766","29.070581436157227","29.070581436157227","29.070581436157227","26.49431610107422","26.49431610107422","26.49431610107422","29.885282516479492","29.885282516479492","29.885282516479492","19.130979537963867","19.130979537963867","19.130979537963867","24.74232292175293","24.74232292175293","24.74232292175293","22.801597595214844","22.801597595214844","22.801597595214844"
"15000","30.6047306060791","30.6047306060791","30.6047306060791","29.542308807373047","29.542308807373047","29.542308807373047","26.782276153564453","26.782276153564453","26.782276153564453","30.297269821166992","30.297269821166992","30.297269821166992","19.193822860717773","19.193822860717773","19.193822860717773","25.023618698120117","25.023618698120117","25.023618698120117","23.096738815307617","23.096738815307617","23.096738815307617"
"20000","30.892518997192383","30.892518997192383","30.892518997192383","29.758039474487305","29.758039474487305","29.758039474487305","26.81525993347168","26.81525993347168","26.81525993347168","30.452899932861328","30.452899932861328","30.452899932861328","19.138933181762695","19.138933181762695","19.138933181762695","25.29572868347168","25.29572868347168","25.29572868347168","23.274446487426758","23.274446487426758","23.274446487426758"
"25000","30.987964630126953","30.987964630126953","30.987964630126953","29.747432708740234","29.747432708740234","29.747432708740234","26.988618850708008","26.988618850708008","26.988618850708008","30.530561447143555","30.530561447143555","30.530561447143555","19.102785110473633","19.102785110473633","19.102785110473633","25.39276695251465","25.39276695251465","25.39276695251465","23.29694175720215","23.29694175720215","23.29694175720215"
"30000","31.31144142150879","31.31144142150879","31.31144142150879","30.09200668334961","30.09200668334961","30.09200668334961","27.089460372924805","27.089460372924805","27.089460372924805","30.7379093170166","30.7379093170166","30.7379093170166","19.015052795410156","19.015052795410156","19.015052795410156","25.584802627563477","25.584802627563477","25.584802627563477","23.43606948852539","23.43606948852539","23.43606948852539"
