"Step","bonsai_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim","bonsai_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim__MIN","bonsai_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim__MAX","kitchen_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim","kitchen_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim__MIN","kitchen_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim__MAX","counter_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim","counter_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim__MIN","counter_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim__MAX","room_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim","room_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim__MIN","room_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim__MAX","stump_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim","stump_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim__MIN","stump_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim__MAX","garden_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim","garden_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim__MIN","garden_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim__MAX","bicycle_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim","bicycle_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim__MIN","bicycle_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/ssim__MAX"
"5000","0.8803925514221191","0.8803925514221191","0.8803925514221191","0.8378414511680603","0.8378414511680603","0.8378414511680603","0.7761771082878113","0.7761771082878113","0.7761771082878113","0.8659623265266418","0.8659623265266418","0.8659623265266418","0.36448878049850464","0.36448878049850464","0.36448878049850464","0.6166963577270508","0.6166963577270508","0.6166963577270508","0.47419044375419617","0.47419044375419617","0.47419044375419617"
"10000","0.9040232300758362","0.9040232300758362","0.9040232300758362","0.8688313364982605","0.8688313364982605","0.8688313364982605","0.8034861087799072","0.8034861087799072","0.8034861087799072","0.8819292783737183","0.8819292783737183","0.8819292783737183","0.3767551779747009","0.3767551779747009","0.3767551779747009","0.6668679714202881","0.6668679714202881","0.6668679714202881","0.5085462331771851","0.5085462331771851","0.5085462331771851"
"15000","0.9146127700805664","0.9146127700805664","0.9146127700805664","0.8816289305686951","0.8816289305686951","0.8816289305686951","0.8156216740608215","0.8156216740608215","0.8156216740608215","0.8901710510253906","0.8901710510253906","0.8901710510253906","0.3841424286365509","0.3841424286365509","0.3841424286365509","0.696258544921875","0.696258544921875","0.696258544921875","0.5283700823783875","0.5283700823783875","0.5283700823783875"
"20000","0.9193230867385864","0.9193230867385864","0.9193230867385864","0.8883754014968872","0.8883754014968872","0.8883754014968872","0.8225901126861572","0.8225901126861572","0.8225901126861572","0.8937950134277344","0.8937950134277344","0.8937950134277344","0.3865121901035309","0.3865121901035309","0.3865121901035309","0.7125813961029053","0.7125813961029053","0.7125813961029053","0.5453415513038635","0.5453415513038635","0.5453415513038635"
"25000","0.9222889542579651","0.9222889542579651","0.9222889542579651","0.8918511271476746","0.8918511271476746","0.8918511271476746","0.8282744288444519","0.8282744288444519","0.8282744288444519","0.8977230787277222","0.8977230787277222","0.8977230787277222","0.38814979791641235","0.38814979791641235","0.38814979791641235","0.7231001853942871","0.7231001853942871","0.7231001853942871","0.5515201687812805","0.5515201687812805","0.5515201687812805"
"30000","0.9268288612365723","0.9268288612365723","0.9268288612365723","0.8953068256378174","0.8953068256378174","0.8953068256378174","0.8316792249679565","0.8316792249679565","0.8316792249679565","0.9009016156196594","0.9009016156196594","0.9009016156196594","0.3872043490409851","0.3872043490409851","0.3872043490409851","0.7320837378501892","0.7320837378501892","0.7320837378501892","0.5632787942886353","0.5632787942886353","0.5632787942886353"
