"Step","Giannini-Hall_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim","Giannini-Hall_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MIN","Giannini-Hall_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MAX","Giannini-Hall_no-contraction - Eval Images Metrics Dict (all images)/ssim","Giannini-Hall_no-contraction - Eval Images Metrics Dict (all images)/ssim__MIN","Giannini-Hall_no-contraction - Eval Images Metrics Dict (all images)/ssim__MAX","sculpture_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim","sculpture_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MIN","sculpture_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MAX","sculpture_no-contraction - Eval Images Metrics Dict (all images)/ssim","sculpture_no-contraction - Eval Images Metrics Dict (all images)/ssim__MIN","sculpture_no-contraction - Eval Images Metrics Dict (all images)/ssim__MAX","stump_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim","stump_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MIN","stump_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MAX","stump_no-contraction - Eval Images Metrics Dict (all images)/ssim","stump_no-contraction - Eval Images Metrics Dict (all images)/ssim__MIN","stump_no-contraction - Eval Images Metrics Dict (all images)/ssim__MAX","aspen_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim","aspen_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MIN","aspen_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MAX","aspen_no-contraction - Eval Images Metrics Dict (all images)/ssim","aspen_no-contraction - Eval Images Metrics Dict (all images)/ssim__MIN","aspen_no-contraction - Eval Images Metrics Dict (all images)/ssim__MAX","floating-tree_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim","floating-tree_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MIN","floating-tree_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MAX","floating-tree_no-contraction - Eval Images Metrics Dict (all images)/ssim","floating-tree_no-contraction - Eval Images Metrics Dict (all images)/ssim__MIN","floating-tree_no-contraction - Eval Images Metrics Dict (all images)/ssim__MAX","dozer_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim","dozer_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MIN","dozer_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MAX","dozer_no-contraction - Eval Images Metrics Dict (all images)/ssim","dozer_no-contraction - Eval Images Metrics Dict (all images)/ssim__MIN","dozer_no-contraction - Eval Images Metrics Dict (all images)/ssim__MAX","plane_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim","plane_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MIN","plane_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MAX","plane_no-contraction - Eval Images Metrics Dict (all images)/ssim","plane_no-contraction - Eval Images Metrics Dict (all images)/ssim__MIN","plane_no-contraction - Eval Images Metrics Dict (all images)/ssim__MAX","kitchen_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim","kitchen_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MIN","kitchen_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MAX","kitchen_no-contraction - Eval Images Metrics Dict (all images)/ssim","kitchen_no-contraction - Eval Images Metrics Dict (all images)/ssim__MIN","kitchen_no-contraction - Eval Images Metrics Dict (all images)/ssim__MAX","person_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim","person_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MIN","person_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MAX","person_no-contraction - Eval Images Metrics Dict (all images)/ssim","person_no-contraction - Eval Images Metrics Dict (all images)/ssim__MIN","person_no-contraction - Eval Images Metrics Dict (all images)/ssim__MAX","Egypt_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim","Egypt_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MIN","Egypt_synthetic-on-real - Eval Images Metrics Dict (all images)/ssim__MAX","Egypt_no-contraction - Eval Images Metrics Dict (all images)/ssim","Egypt_no-contraction - Eval Images Metrics Dict (all images)/ssim__MIN","Egypt_no-contraction - Eval Images Metrics Dict (all images)/ssim__MAX"
"5000","0.5562858581542969","0.5562858581542969","0.5562858581542969","0.5948334336280823","0.5948334336280823","0.5948334336280823","0.6907010078430176","0.6907010078430176","0.6907010078430176","0.7014396786689758","0.7014396786689758","0.7014396786689758","0.7847740054130554","0.7847740054130554","0.7847740054130554","0.7828577160835266","0.7828577160835266","0.7828577160835266","0.3386729955673218","0.3386729955673218","0.3386729955673218","0.32978928089141846","0.32978928089141846","0.32978928089141846","0.6975198984146118","0.6975198984146118","0.6975198984146118","0.7015793919563293","0.7015793919563293","0.7015793919563293","0.7310937643051147","0.7310937643051147","0.7310937643051147","0.7589635848999023","0.7589635848999023","0.7589635848999023","0.5540023446083069","0.5540023446083069","0.5540023446083069","0.511674702167511","0.511674702167511","0.511674702167511","0.7267999053001404","0.7267999053001404","0.7267999053001404","0.7261914610862732","0.7261914610862732","0.7261914610862732","0.6907945871353149","0.6907945871353149","0.6907945871353149","0.6113759875297546","0.6113759875297546","0.6113759875297546","0.5768258571624756","0.5768258571624756","0.5768258571624756","0.5336831212043762","0.5336831212043762","0.5336831212043762"
"10000","0.5491994619369507","0.5491994619369507","0.5491994619369507","0.6199596524238586","0.6199596524238586","0.6199596524238586","0.7057923674583435","0.7057923674583435","0.7057923674583435","0.7124855518341064","0.7124855518341064","0.7124855518341064","0.7983639240264893","0.7983639240264893","0.7983639240264893","0.7566031217575073","0.7566031217575073","0.7566031217575073","0.3392404615879059","0.3392404615879059","0.3392404615879059","0.34581080079078674","0.34581080079078674","0.34581080079078674","0.7227925658226013","0.7227925658226013","0.7227925658226013","0.7402476668357849","0.7402476668357849","0.7402476668357849","0.755540668964386","0.755540668964386","0.755540668964386","0.7737975120544434","0.7737975120544434","0.7737975120544434","0.5325939655303955","0.5325939655303955","0.5325939655303955","0.5148643851280212","0.5148643851280212","0.5148643851280212","0.749466061592102","0.749466061592102","0.749466061592102","0.7486064434051514","0.7486064434051514","0.7486064434051514","0.6808063387870789","0.6808063387870789","0.6808063387870789","0.5734282732009888","0.5734282732009888","0.5734282732009888","0.5715943574905396","0.5715943574905396","0.5715943574905396","0.52596515417099","0.52596515417099","0.52596515417099"
"15000","0.5544230937957764","0.5544230937957764","0.5544230937957764","0.6031008958816528","0.6031008958816528","0.6031008958816528","0.7069872617721558","0.7069872617721558","0.7069872617721558","0.721727728843689","0.721727728843689","0.721727728843689","0.7900955677032471","0.7900955677032471","0.7900955677032471","0.7447559833526611","0.7447559833526611","0.7447559833526611","0.33575358986854553","0.33575358986854553","0.33575358986854553","0.3405647575855255","0.3405647575855255","0.3405647575855255","0.7271162271499634","0.7271162271499634","0.7271162271499634","0.7346052527427673","0.7346052527427673","0.7346052527427673","0.7580003142356873","0.7580003142356873","0.7580003142356873","0.7784881591796875","0.7784881591796875","0.7784881591796875","0.576488196849823","0.576488196849823","0.576488196849823","0.519737184047699","0.519737184047699","0.519737184047699","0.7287388443946838","0.7287388443946838","0.7287388443946838","0.7483934164047241","0.7483934164047241","0.7483934164047241","0.6855477094650269","0.6855477094650269","0.6855477094650269","0.5728748440742493","0.5728748440742493","0.5728748440742493","0.5672677755355835","0.5672677755355835","0.5672677755355835","0.523475706577301","0.523475706577301","0.523475706577301"
"20000","0.5621583461761475","0.5621583461761475","0.5621583461761475","0.6039221286773682","0.6039221286773682","0.6039221286773682","0.7071369290351868","0.7071369290351868","0.7071369290351868","0.7234301567077637","0.7234301567077637","0.7234301567077637","0.7984806895256042","0.7984806895256042","0.7984806895256042","0.7263915538787842","0.7263915538787842","0.7263915538787842","0.32767626643180847","0.32767626643180847","0.32767626643180847","0.3321668207645416","0.3321668207645416","0.3321668207645416","0.7364911437034607","0.7364911437034607","0.7364911437034607","0.7243889570236206","0.7243889570236206","0.7243889570236206","0.7491315007209778","0.7491315007209778","0.7491315007209778","0.7850586771965027","0.7850586771965027","0.7850586771965027","0.5565969944000244","0.5565969944000244","0.5565969944000244","0.5230870246887207","0.5230870246887207","0.5230870246887207","0.7448252439498901","0.7448252439498901","0.7448252439498901","0.7637325525283813","0.7637325525283813","0.7637325525283813","0.6828808784484863","0.6828808784484863","0.6828808784484863","0.5383646488189697","0.5383646488189697","0.5383646488189697","0.5621162056922913","0.5621162056922913","0.5621162056922913","0.5188120603561401","0.5188120603561401","0.5188120603561401"
"25000","0.5487070083618164","0.5487070083618164","0.5487070083618164","0.5941022038459778","0.5941022038459778","0.5941022038459778","0.7055608034133911","0.7055608034133911","0.7055608034133911","0.7152494788169861","0.7152494788169861","0.7152494788169861","0.807205319404602","0.807205319404602","0.807205319404602","0.6968534588813782","0.6968534588813782","0.6968534588813782","0.3233805000782013","0.3233805000782013","0.3233805000782013","0.34123650193214417","0.34123650193214417","0.34123650193214417","0.7315167188644409","0.7315167188644409","0.7315167188644409","0.6809759736061096","0.6809759736061096","0.6809759736061096","0.7578228712081909","0.7578228712081909","0.7578228712081909","0.7896640300750732","0.7896640300750732","0.7896640300750732","0.5566552877426147","0.5566552877426147","0.5566552877426147","0.5295083522796631","0.5295083522796631","0.5295083522796631","0.7326600551605225","0.7326600551605225","0.7326600551605225","0.7631698250770569","0.7631698250770569","0.7631698250770569","0.6702176928520203","0.6702176928520203","0.6702176928520203","0.526925265789032","0.526925265789032","0.526925265789032","0.5785836577415466","0.5785836577415466","0.5785836577415466","0.5277501940727234","0.5277501940727234","0.5277501940727234"
"30000","0.5756094455718994","0.5756094455718994","0.5756094455718994","0.5955697298049927","0.5955697298049927","0.5955697298049927","0.7056115865707397","0.7056115865707397","0.7056115865707397","0.7197808623313904","0.7197808623313904","0.7197808623313904","0.7855907678604126","0.7855907678604126","0.7855907678604126","0.7041175365447998","0.7041175365447998","0.7041175365447998","0.30114591121673584","0.30114591121673584","0.30114591121673584","0.33013537526130676","0.33013537526130676","0.33013537526130676","0.7259055376052856","0.7259055376052856","0.7259055376052856","0.6787521839141846","0.6787521839141846","0.6787521839141846","0.7580105066299438","0.7580105066299438","0.7580105066299438","0.7856844067573547","0.7856844067573547","0.7856844067573547","0.5777738690376282","0.5777738690376282","0.5777738690376282","0.5193044543266296","0.5193044543266296","0.5193044543266296","0.745147705078125","0.745147705078125","0.745147705078125","0.764460563659668","0.764460563659668","0.764460563659668","0.6670649647712708","0.6670649647712708","0.6670649647712708","0.511165201663971","0.511165201663971","0.511165201663971","0.5463988184928894","0.5463988184928894","0.5463988184928894","0.5198838710784912","0.5198838710784912","0.5198838710784912"
