"Step","bonsai_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips","bonsai_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips__MIN","bonsai_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips__MAX","kitchen_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips","kitchen_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips__MIN","kitchen_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips__MAX","counter_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips","counter_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips__MIN","counter_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips__MAX","room_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips","room_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips__MIN","room_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips__MAX","stump_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips","stump_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips__MIN","stump_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips__MAX","garden_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips","garden_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips__MIN","garden_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips__MAX","bicycle_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips","bicycle_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips__MIN","bicycle_nerfacto-w/o-pose-app - Eval Images Metrics Dict (all images)/lpips__MAX"
"5000","0.2519197463989258","0.2519197463989258","0.2519197463989258","0.22290439903736115","0.22290439903736115","0.22290439903736115","0.3463352918624878","0.3463352918624878","0.3463352918624878","0.30166396498680115","0.30166396498680115","0.30166396498680115","0.6690490245819092","0.6690490245819092","0.6690490245819092","0.38469502329826355","0.38469502329826355","0.38469502329826355","0.5510148406028748","0.5510148406028748","0.5510148406028748"
"10000","0.20537590980529785","0.20537590980529785","0.20537590980529785","0.1862574815750122","0.1862574815750122","0.1862574815750122","0.3060450553894043","0.3060450553894043","0.3060450553894043","0.264473021030426","0.264473021030426","0.264473021030426","0.6549886465072632","0.6549886465072632","0.6549886465072632","0.3379896581172943","0.3379896581172943","0.3379896581172943","0.5165897607803345","0.5165897607803345","0.5165897607803345"
"15000","0.18232251703739166","0.18232251703739166","0.18232251703739166","0.1694253832101822","0.1694253832101822","0.1694253832101822","0.28753527998924255","0.28753527998924255","0.28753527998924255","0.24498172104358673","0.24498172104358673","0.24498172104358673","0.6469297409057617","0.6469297409057617","0.6469297409057617","0.3143976628780365","0.3143976628780365","0.3143976628780365","0.49204298853874207","0.49204298853874207","0.49204298853874207"
"20000","0.16992567479610443","0.16992567479610443","0.16992567479610443","0.1603987067937851","0.1603987067937851","0.1603987067937851","0.2758496105670929","0.2758496105670929","0.2758496105670929","0.2337770015001297","0.2337770015001297","0.2337770015001297","0.6356087923049927","0.6356087923049927","0.6356087923049927","0.2970008850097656","0.2970008850097656","0.2970008850097656","0.477325439453125","0.477325439453125","0.477325439453125"
"25000","0.16045209765434265","0.16045209765434265","0.16045209765434265","0.15450946986675262","0.15450946986675262","0.15450946986675262","0.2683956027030945","0.2683956027030945","0.2683956027030945","0.2252463847398758","0.2252463847398758","0.2252463847398758","0.6341891884803772","0.6341891884803772","0.6341891884803772","0.28854474425315857","0.28854474425315857","0.28854474425315857","0.4702630937099457","0.4702630937099457","0.4702630937099457"
"30000","0.1552095264196396","0.1552095264196396","0.1552095264196396","0.14859946072101593","0.14859946072101593","0.14859946072101593","0.26168495416641235","0.26168495416641235","0.26168495416641235","0.21848224103450775","0.21848224103450775","0.21848224103450775","0.6303073167800903","0.6303073167800903","0.6303073167800903","0.27927762269973755","0.27927762269973755","0.27927762269973755","0.45694661140441895","0.45694661140441895","0.45694661140441895"
